termo,query_api,tipo,did,handle,data,ano,texto,uri
apply,apliquei vaga,calque,did:plc:bnwrkrowxct3j4wthk3xnchm,juliocampos.com.br,2024-10-07T17:05:23.373Z,2024,"É pior, eu recebi a offer e optei em entrar na empresa que sai recentemente. Enfim, apliquei para uma vaga lá esses dias, vamos ver no que dá.",at://did:plc:bnwrkrowxct3j4wthk3xnchm/app.bsky.feed.post/3l5ws5gj7rj2v
apply,apliquei vaga,calque,did:plc:42qt4lssifxbvp7wj4fdxlv5,wtfmoony.bsky.social,2024-10-03T12:03:42.251Z,2024,"Eu quero CHORAR de ódio, a entrevista hoje era pra ir batendo de porta em porta pra vender produto de energia kkkk???? Tipo??? Apliquei pra vaga administrativa/contact center e me passaram essa caralha",at://did:plc:42qt4lssifxbvp7wj4fdxlv5/app.bsky.feed.post/3l5m7gccflf2j
apply,apliquei vaga,calque,did:plc:vniwayrm6f2xssjxf56me25b,rehbley.bsky.social,2024-10-03T00:31:51.985Z,2024,"apliquei ora uma vaga pq o allan me encorajou, pq pensava q nao me sentia pronta…",at://did:plc:vniwayrm6f2xssjxf56me25b/app.bsky.feed.post/3l5kyr7drkg2j
apply,apliquei vaga,calque,did:plc:xywnlenqvew53gsxgg6eyrfc,izaguirre.bsky.social,2024-10-01T12:06:32.884Z,2024,apliquei semana passada uma vaga que ganhava um salário absurdo e minha mãe me mandou um áudio agora falando que sonhou que eu passava numa vaga que ganhava exatamente o mesmo valor (sendo que nem falei nada pra ela). juro vem aí,at://did:plc:xywnlenqvew53gsxgg6eyrfc/app.bsky.feed.post/3l5h6nmnot62l
apply,apliquei vaga,calque,did:plc:hqjdkuxslmv33zwrdjbj6ueq,ellidenathi.bsky.social,2024-10-01T03:40:17.621Z,2024,superada mas se estralar o dedo eu volto (unico emprego legal clt que apliquei pra vaga,at://did:plc:hqjdkuxslmv33zwrdjbj6ueq/app.bsky.feed.post/3l5gcebpj6w2b
apply,apliquei vaga,calque,did:plc:irx55q56wn24btsicp3vkavc,miathesky.bsky.social,2024-10-01T01:55:31.586Z,2024,Amigas e eu que apliquei pra uma vaga naquele the playoffs e a velocidade com que rejeitaram meu currículo foi Um Pouco humilhante .,at://did:plc:irx55q56wn24btsicp3vkavc/app.bsky.feed.post/3l5g4iwzkvp24
apply,apliquei vaga,calque,did:plc:k65n2jcu2ntjf4aq3tvjhviu,affffffffffff.bsky.social,2024-09-18T18:49:21.206Z,2024,quando apliquei pra vaga eu nao entrei pra ver o setor da empresa…… so olhei agora que me chamaram pra entrevista…..,at://did:plc:k65n2jcu2ntjf4aq3tvjhviu/app.bsky.feed.post/3l4h73txo4q2q
apply,apliquei vaga,calque,did:plc:yo2c5t3mmb7k23fjjwkjqmak,daystudies.bsky.social,2024-09-18T01:09:13.481Z,2024,"Já apliquei pra tanta vaga de estágio, mas até agora nada",at://did:plc:yo2c5t3mmb7k23fjjwkjqmak/app.bsky.feed.post/3l4fduajyw72y
apply,apliquei vaga,calque,did:plc:j2d4ie5h2wdxz3iimh3nyaqy,erienji.bsky.social,2024-09-17T18:25:04.398Z,2024,apliquei pra uma vaga e me mandaram esse desafio aqui: sera que eles tao contratando um dev ou querem um setor inteiro de tecnologia pra uma unica vaga? #bolhadev voces fariam?,at://did:plc:j2d4ie5h2wdxz3iimh3nyaqy/app.bsky.feed.post/3l4enbiurn72n
apply,apliquei vaga,calque,did:plc:qhao2gep3th4y62z4zfgfgfa,lina-is-a-lesbian.bsky.social,2024-09-15T03:03:01.758Z,2024,hj apliquei pra vaga em time rival pois não estarei seguindo os passos do meu progenitor. é sobre quebrar ciclos,at://did:plc:qhao2gep3th4y62z4zfgfgfa/app.bsky.feed.post/3l45yswl3a62x
